2015/03/27,キリンチャレンジカップ2015,2-0,チュニジア,Win,アフリカ,
2015/03/31,JALチャレンジカップ2015,5-1,ウズベキスタン,Win,アジア,
2015/06/11,キリンチャレンジカップ2015,4-0,イラク,Win,アジア,
2015/06/16,2018FIFAワールドカップロシア　アジア2次予選 兼 AFCアジアカップUAE2019 予選,0-0,シンガポール,Draw,アジア,W杯予選
2015/08/02,EAFF東アジアカップ2015決勝大会,1-2,朝鮮民主主義人民共和国,Lose,アジア,
2015/08/05,EAFF東アジアカップ2015決勝大会,1-1,韓国,Draw,アジア,
2015/08/09,EAFF東アジアカップ2015決勝大会,1-1,中国,Draw,アジア,
2015/09/03,2018FIFAワールドカップロシア　アジア2次予選 兼 AFCアジアカップUAE2019 予選,3-0,カンボジア,Win,アジア,W杯予選
2015/09/08,2018FIFAワールドカップロシア　アジア2次予選 兼 AFCアジアカップUAE2019 予選,6-0,アフガニスタン,Win,アジア,W杯予選
2015/10/08,2018FIFAワールドカップロシア　アジア2次予選 兼 AFCアジアカップUAE2019 予選,3-0,シリア,Win,アジア,W杯予選
2015/10/13,国際親善試合,1-1,イラン,Draw,アジア,
2015/11/12,2018FIFAワールドカップロシア　アジア2次予選 兼 AFCアジアカップUAE2019 予選,3-0,シンガポール,Win,アジア,W杯予選
2015/11/17,2018FIFAワールドカップロシア　アジア2次予選 兼 AFCアジアカップUAE2019 予選,2-0,カンボジア,Win,アジア,W杯予選
2016/03/24,2018FIFAワールドカップロシア　アジア2次予選 兼 AFCアジアカップUAE2019 予選,5-0,アフガニスタン,Win,アジア,W杯予選
2016/03/29,2018FIFAワールドカップロシア　アジア2次予選 兼 AFCアジアカップUAE2019 予選,5-0,シリア,Win,アジア,W杯予選
2016/06/03,キリンカップサッカー2016,7-2,ブルガリア,Win,欧州,
2016/06/07,キリンカップサッカー2016,1-2,ボスニア・ヘルツェゴビナ　,Lose,欧州,
2016/09/01,アジア最終予選（Road to Russia）,1-2,アラブ首長国連邦（UAE）,Lose,アジア,W杯予選
2016/09/06,アジア最終予選（Road to Russia）,2-0,タイ,Win,アジア,W杯予選
2016/10/06,アジア最終予選（Road to Russia）,2-1,イラク,Win,アジア,W杯予選
2016/10/11,アジア最終予選（Road to Russia）,1-1,オーストラリア,Draw,アジア,W杯予選
2016/11/11,キリンチャレンジカップ2016,4-0,オマーン,Win,アジア,
2016/11/15,アジア最終予選（Road to Russia）,2-1,サウジアラビア,Win,アジア,W杯予選
2017/03/23,アジア最終予選（Road to Russia）,2-0,アラブ首長国連邦（UAE）,Win,アジア,W杯予選
2017/03/28,アジア最終予選（Road to Russia）,4-0,タイ,Win,アジア,W杯予選
2017/06/07,キリンチャレンジカップ2017,1-1,シリア,Draw,アジア,
2017/06/13,アジア最終予選（Road to Russia）,1-1,イラク,Draw,アジア,W杯予選
2017/08/31,アジア最終予選（Road to Russia）,2-0,オーストラリア,Win,アジア,W杯予選
2017/09/05,アジア最終予選（Road to Russia）,0-1,サウジアラビア,Lose,アジア,W杯予選
2017/10/06,キリンチャレンジカップ2017,2-1,ニュージーランド,Win,オセアニア,
2017/10/10,キリンチャレンジカップ2017,3-3,ハイチ,Draw,北中米カリブ海,
2017/11/10,国際親善試合,1-3,ブラジル,Lose,南米,
2017/11/14,国際親善試合,0-1,ベルギー,Lose,欧州,
2017/12/09,EAFF E-1 サッカー選手権 2017 決勝大会,1-0,朝鮮民主主義人民共和国,Win,アジア,
2017/12/12,EAFF E-1 サッカー選手権 2017 決勝大会,2-1,中国,Win,アジア,
2017/12/16,EAFF E-1 サッカー選手権 2017 決勝大会,1-4,韓国,Lose,アジア,
2018/03/23,国際親善試合,1-1,マリ,Draw,アフリカ,
2018/03/27,キリンチャレンジカップ2018 in EUROPE,1-2,ウクライナ,Lose,欧州,
2018/05/30,キリンチャレンジカップ2018,0-2,ガーナ,Lose,アフリカ,
2018/06/08,国際親善試合,0-2,スイス,Lose,欧州,
2018/06/12,国際親善試合,4-2,パラグアイ,Win,南米,
2018/06/19,2018 FIFA World Cup Russia,2-1,コロンビア,Win,南米,W杯本戦
2018/06/24,2018 FIFA World Cup Russia,2-2,セネガル,Draw,アフリカ,W杯本戦
2018/06/28,2018 FIFA World Cup Russia,0-1,ポーランド,Lose,欧州,W杯本戦
2018/07/02,2018 FIFA World Cup Russia,2-3,ベルギー,Lose,欧州,W杯本戦
2018/09/11,キリンチャレンジカップ2018,3-0,コスタリカ,Win,北中米カリブ海,
2018/10/12,キリンチャレンジカップ2018,3-0,パナマ,Win,北中米カリブ海,
2018/10/16,キリンチャレンジカップ2018,4-3,ウルグアイ,Win,南米,
2018/11/16,キリンチャレンジカップ2018,1-1,ベネズエラ,Draw,南米,
2018/11/20,キリンチャレンジカップ2018,4-0,キルギス,Win,アジア,
2019/01/09,AFC アジアカップ UAE 2019,3-2,トルクメニスタン,Win,アジア,
2019/01/13,AFC アジアカップ UAE 2019,1-0,オマーン,Win,アジア,
2019/01/17,AFC アジアカップ UAE 2019,2-1,ウズベキスタン,Win,アジア,
2019/01/21,AFC アジアカップ UAE 2019,1-0,サウジアラビア,Win,アジア,
2019/01/24,AFC アジアカップ UAE 2019,1-0,ベトナム,Win,アジア,
2019/01/28,AFC アジアカップ UAE 2019,3-0,イラン,Win,アジア,
2019/02/01,AFC アジアカップ UAE 2019,1-3,カタール,Lose,アジア,
2019/03/22,キリンチャレンジカップ2019,0-1,コロンビア,Lose,南米,
2019/03/26,キリンチャレンジカップ2019,1-0,ボリビア,Win,南米,
2019/06/05,キリンチャレンジカップ2019,0-0,トリニダード・トバゴ,Draw,北中米カリブ海,
2019/06/09,キリンチャレンジカップ2019,2-0,エルサルバドル,Win,北中米カリブ海,
2019/06/17,CONMEBOLコパアメリカブラジル2019,0-4,チリ,Lose,南米,
2019/06/20,CONMEBOLコパアメリカブラジル2019,2-2,ウルグアイ,Draw,南米,
2019/06/24,CONMEBOLコパアメリカブラジル2019,1-1,エクアドル,Draw,南米,
2019/09/05,キリンチャレンジカップ2019,2-0,パラグアイ,Win,南米,
2019/09/10,FIFAワールドカップカタール2022アジア2次予選 兼 AFCアジアカップ中国2023 予選,2-0,ミャンマー,Win,アジア,W杯予選
2019/10/10,FIFAワールドカップカタール2022アジア2次予選 兼 AFCアジアカップ中国2023 予選,6-0,モンゴル,Win,アジア,W杯予選
2019/10/15,FIFAワールドカップカタール2022アジア2次予選 兼 AFCアジアカップ中国2023 予選,3-0,タジキスタン,Win,アジア,W杯予選
2019/11/14,FIFAワールドカップカタール2022アジア2次予選 兼 AFCアジアカップ中国2023 予選,2-0,キルギス,Win,アジア,W杯予選
2019/11/19,キリンチャレンジカップ2019,1-4,ベネズエラ,Lose,南米,
2019/12/10,EAFF E-1 サッカー選手権 2019 決勝大会,2-1,中国,Win,アジア,
2019/12/14,EAFF E-1 サッカー選手権 2019 決勝大会,5-0,香港,Win,アジア,
2019/12/18,EAFF E-1 サッカー選手権 2019 決勝大会,0-1,韓国,Lose,アジア,
2020/10/09,国際親善試合,0-0,カメルーン,Draw,アフリカ,
2020/10/13,国際親善試合,1-0,コートジボワール,Win,アフリカ,
2020/11/13,国際親善試合,1-0,パナマ,Win,北中米カリブ海,
2020/11/17,国際親善試合,0-2,メキシコ,Lose,北中米カリブ海,
2021/03/25,国際親善試合,3-0,韓国,Win,アジア,
2021/03/30,FIFAワールドカップカタール2022 アジア2次予選 兼 AFCアジアカップ中国2023 予選,14-0,モンゴル,Win,アジア,W杯予選
2021/05/28,FIFAワールドカップカタール2022 アジア2次予選 兼 AFCアジアカップ中国2023 予選,10-0,ミャンマー,Win,アジア,W杯予選
2021/06/03,SAMURAI BLUE 対 U-24日本代表,3-0,U-24日本代表,Win,その他,
2021/06/07,FIFAワールドカップカタール2022 アジア2次予選 兼 AFCアジアカップ中国2023 予選,4-1,タジキスタン,Win,アジア,W杯予選
