position,player,avg,ab,r,h,rbi,so,walks,hbp,sac,sb,err,hr,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,day_of_game,vs_team,starting,series
打,宮本 丈,.667,1,0,0,0,0,0,0,0,0,0,0,,,,,,,左飛,,,,,,2026/03/31,広島,0,2026RS
投,星 知弥,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/31,広島,0,2026RS
投,廣澤 優,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/03/31,広島,0,2026RS
(三),武岡 龍世,.308,4,1,1,0,2,0,0,0,0,0,0,,,見三振,空三振,,左邪飛,,中安,,,,,2026/03/31,広島,1,2026RS
(遊),長岡 秀樹,.250,4,0,1,0,0,0,0,0,0,0,0,右２,,一直,,右飛,,,遊ゴロ,,,,,2026/04/02,広島,1,2026RS
(左),サンタナ,.176,4,0,0,0,2,0,0,0,0,0,0,空三振,,二ゴロ,,,三ゴロ,,空三振,,,,,2026/04/02,広島,1,2026RS
(捕),鈴木 叶,.250,3,0,0,0,0,1,0,0,0,0,0,二ゴロ,,四球,,,遊ゴロ,,,一ゴロ,,,,2026/04/02,広島,1,2026RS
(一),オスナ,.250,3,0,2,0,0,1,0,0,0,0,0,四球,,遊ゴロ,,,左安,,,左安,,,,2026/04/02,広島,1,2026RS
走,赤羽 由紘,.500,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,2026/04/02,広島,0,2026RS
(右),増田 珠,.250,3,0,0,0,0,1,0,0,0,0,0,左飛,,,二ゴロ,,三ゴロ,,,四球,,,,2026/04/02,広島,1,2026RS
(中),岩田 幸宏,.238,4,1,1,0,0,0,0,0,2,0,0,,遊安,,左飛,,,遊ゴロ,,二ゴロ,,,,2026/04/02,広島,1,2026RS
(二),伊藤 琉偉,.211,4,0,1,2,2,0,0,0,0,0,0,,見三振,,空三振,,,二ゴロ,,三安,,,,2026/04/02,広島,1,2026RS
(投),奥川 恭伸,.000,2,0,0,0,1,0,0,0,0,0,0,,三ゴロ,,,空三振,,,,,,,,2026/04/02,広島,1,2026RS
打,橋本 星哉,.000,1,0,0,0,0,0,0,0,0,0,0,,,,,,,遊ゴロ,,,,,,2026/04/02,広島,0,2026RS
投,松本 健吾,-,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2026/04/02,広島,0,2026RS
(三),武岡 龍世,.267,2,0,0,0,0,0,0,0,0,0,0,,左邪飛,,,右飛,,,,,,,,2026/04/02,広島,1,2026RS
打三,北村 恵吾,.000,1,0,0,0,1,0,0,0,0,0,0,,,,,,,,空三振,,,,,2026/04/02,広島,0,2026RS
