wls,pitcher,innings,at_bats,hits,strikeouts,walks,runs,earned_runs,catcher,day_of_game,vs_team,starting,series
W,メルセデス,7,26,6,6,0,1,1,大城,2021/06/25,ヤクルト,1,2021RS
,畠,1,3,0,1,1,0,0,炭谷,2021/06/25,ヤクルト,0,2021RS
,戸　田,1,3,0,0,0,0,0,炭谷,2021/06/25,ヤクルト,0,2021RS
W,戸　郷,5,20,4,4,1,2,2,大城,2021/06/26,ヤクルト,1,2021RS
,戸　郷,1.2,10,3,0,0,1,0,小林,2021/06/26,ヤクルト,0,2021RS
,戸　根,0.1,1,0,0,0,0,0,小林,2021/06/26,ヤクルト,0,2021RS
,田中豊,0.2,4,2,0,0,0,0,小林,2021/06/26,ヤクルト,0,2021RS
,大　江,0.1,1,0,0,0,0,0,小林,2021/06/26,ヤクルト,0,2021RS
,戸　田,1,6,2,0,1,0,0,小林,2021/06/26,ヤクルト,0,2021RS
W,高　橋,6,22,6,3,1,2,2,大城,2021/06/27,ヤクルト,1,2021RS
,鍵　谷,1,4,1,0,0,0,0,炭谷,2021/06/27,ヤクルト,0,2021RS
,畠,0.2,2,0,1,0,0,0,炭谷,2021/06/27,ヤクルト,0,2021RS
,大　江,0.1,1,0,0,0,0,0,炭谷,2021/06/27,ヤクルト,0,2021RS
S,ビエイラ,1,4,0,0,1,0,0,炭谷,2021/06/27,ヤクルト,0,2021RS
,サンチェス,2.1,15,6,1,2,4,4,大城,2021/06/29,広島,1,2021RS
,戸　根,1.2,9,1,0,3,3,3,大城,2021/06/29,広島,0,2021RS
,畠,0.1,3,2,1,0,1,1,大城,2021/06/29,広島,0,2021RS
,田中豊,0.2,3,0,0,1,0,0,大城,2021/06/29,広島,0,2021RS
,鍵　谷,1.1,4,0,2,0,0,0,大城,2021/06/29,広島,0,2021RS
,大　江,0.2,2,0,0,0,0,0,大城,2021/06/29,広島,0,2021RS
W,高　梨,1,3,0,1,0,0,0,大城,2021/06/29,広島,0,2021RS
S,ビエイラ,1,4,0,2,1,0,0,炭谷,2021/06/29,広島,0,2021RS
L,山　口,8,27,1,10,2,1,1,小林,2021/06/30,広島,1,2021RS
,ビエイラ,1,3,1,2,0,0,0,炭谷,2021/06/30,広島,0,2021RS
,菅　野,2.1,13,6,1,0,4,4,小林,2021/07/01,広島,1,2021RS
W,戸　根,1.2,7,1,1,1,0,0,大城,2021/07/01,広島,0,2021RS
,大　江,1,5,1,0,1,0,0,大城,2021/07/01,広島,0,2021RS
,田中豊,1,3,0,0,0,0,0,大城,2021/07/01,広島,0,2021RS
S,直　江,3,9,0,1,0,0,0,大城,2021/07/01,広島,0,2021RS
W,メルセデス,5.2,24,6,6,2,0,0,大城,2021/07/03,横浜,1,2021RS
,田中豊,0.1,1,0,0,0,0,0,大城,2021/07/03,横浜,0,2021RS
,鍵　谷,1,4,1,0,0,0,0,大城,2021/07/03,横浜,0,2021RS
,高　梨,0.2,3,1,1,0,1,1,大城,2021/07/03,横浜,0,2021RS
,デラロサ,0.1,3,2,1,0,0,0,大城,2021/07/03,横浜,0,2021RS
S,ビエイラ,1,4,0,0,1,0,0,炭谷,2021/07/03,横浜,0,2021RS
L,高　橋,4.2,22,6,4,2,2,2,大城,2021/07/04,横浜,1,2021RS
,桜　井,1.1,5,1,0,0,0,0,大城,2021/07/04,横浜,0,2021RS
,鍵　谷,0.1,3,1,0,1,1,1,大城,2021/07/04,横浜,0,2021RS
,デラロサ,0.2,4,1,2,1,0,0,大城,2021/07/04,横浜,0,2021RS
,今　村,1,5,1,2,1,0,0,大城,2021/07/04,横浜,0,2021RS
,サンチェス,7,27,6,6,2,1,1,小林,2021/07/06,中日,1,2021RS
L,高　梨,0,3,2,0,1,2,2,小林,2021/07/06,中日,0,2021RS
,鍵　谷,0.2,3,1,0,0,0,0,小林,2021/07/06,中日,0,2021RS
,デラロサ,1.1,5,1,2,0,0,0,小林,2021/07/06,中日,0,2021RS
W,山　口,6.2,28,6,7,3,1,1,小林,2021/07/07,中日,1,2021RS
,大　江,0.1,1,0,0,0,0,0,小林,2021/07/07,中日,0,2021RS
,デラロサ,1,4,1,0,1,0,0,小林,2021/07/07,中日,0,2021RS
S,ビエイラ,1,3,0,1,0,0,0,小林,2021/07/07,中日,0,2021RS
L,直　江,2.2,11,3,0,1,1,1,大城,2021/07/08,中日,1,2021RS
,今　村,2.1,9,2,3,0,0,0,大城,2021/07/08,中日,0,2021RS
,桜　井,2.1,7,1,0,0,0,0,大城,2021/07/08,中日,0,2021RS
,大　江,0.2,3,0,0,1,0,0,大城,2021/07/08,中日,0,2021RS
,ビエイラ,1,3,0,1,0,0,0,大城,2021/07/08,中日,0,2021RS
L,戸　郷,6,25,5,6,1,4,2,大城,2021/07/09,阪神,1,2021RS
W,メルセデス,7,27,6,5,1,1,1,大城,2021/07/10,阪神,1,2021RS
,メルセデス,0.2,4,1,1,1,0,0,小林,2021/07/10,阪神,0,2021RS
,鍵　谷,0.1,1,0,0,0,0,0,小林,2021/07/10,阪神,0,2021RS
,高　梨,1,4,1,0,0,0,0,小林,2021/07/10,阪神,0,2021RS
W,高　橋,7,23,1,2,1,0,0,大城,2021/07/11,阪神,1,2021RS
,大　江,1,3,0,2,0,0,0,小林,2021/07/11,阪神,0,2021RS
S,ビエイラ,1,3,0,2,0,0,0,小林,2021/07/11,阪神,0,2021RS
L,サンチェス,2,11,5,0,1,4,4,大城,2021/07/13,ヤクルト,1,2021RS
,桜　井,3,16,5,2,2,5,5,大城,2021/07/13,ヤクルト,0,2021RS
,田中豊,2,7,1,2,0,1,1,岸田,2021/07/13,ヤクルト,0,2021RS
,デラロサ,1,7,3,0,1,4,4,岸田,2021/07/13,ヤクルト,0,2021RS
,高　梨,1,4,0,1,1,0,0,岸田,2021/07/13,ヤクルト,0,2021RS
,山　口,1.2,12,4,2,3,4,3,小林,2021/07/14,ヤクルト,1,2021RS
L,今　村,2,11,4,5,1,1,1,小林,2021/07/14,ヤクルト,0,2021RS
,田中豊,0.1,2,0,1,1,0,0,小林,2021/07/14,ヤクルト,0,2021RS
,畠,2,9,2,1,1,3,3,小林,2021/07/14,ヤクルト,0,2021RS
,高　梨,0.2,6,2,1,2,3,3,大城,2021/07/14,ヤクルト,0,2021RS
,戸　根,0,2,0,0,2,0,0,大城,2021/07/14,ヤクルト,0,2021RS
,鍵　谷,0.1,1,0,0,0,0,0,大城,2021/07/14,ヤクルト,0,2021RS
,大　江,1,5,0,2,2,0,0,大城,2021/07/14,ヤクルト,0,2021RS
,デラロサ,1,5,0,2,2,0,0,大城,2021/07/14,ヤクルト,0,2021RS
,山　口,6.2,26,4,9,1,2,2,小林,2021/08/13,中日,1,2021RS
,大　江,0.1,1,0,0,0,0,0,小林,2021/08/13,中日,0,2021RS
,高　梨,0.2,3,1,1,0,0,0,大城,2021/08/13,中日,0,2021RS
W,桜　井,0.1,1,0,0,0,0,0,大城,2021/08/13,中日,0,2021RS
S,ビエイラ,1,3,0,2,0,0,0,大城,2021/08/13,中日,0,2021RS
W,メルセデス,5,23,6,5,3,1,1,大城,2021/08/14,中日,1,2021RS
,桜　井,1,3,1,0,0,0,0,大城,2021/08/14,中日,0,2021RS
,鍵　谷,1,4,1,0,0,0,0,大城,2021/08/14,中日,0,2021RS
,デラロサ,1,3,0,0,1,0,0,大城,2021/08/14,中日,0,2021RS
,畠,1,5,1,0,1,0,0,小林,2021/08/14,中日,0,2021RS
,戸　郷,4.1,18,2,4,3,2,2,大城,2021/08/15,中日,1,2021RS
W,今　村,1.2,6,1,2,0,0,0,大城,2021/08/15,中日,0,2021RS
,鍵　谷,0.2,3,1,1,0,0,0,大城,2021/08/15,中日,0,2021RS
,大　江,0.1,1,0,0,0,0,0,大城,2021/08/15,中日,0,2021RS
,デラロサ,1,3,0,0,0,0,0,小林,2021/08/15,中日,0,2021RS
S,ビエイラ,1,3,0,1,0,0,0,小林,2021/08/15,中日,0,2021RS
,高　橋,3,14,5,1,1,2,2,大城,2021/08/17,ヤクルト,1,2021RS
,畠,2,6,0,2,0,0,0,大城,2021/08/17,ヤクルト,0,2021RS
L,今　村,0.1,3,1,1,0,2,1,大城,2021/08/17,ヤクルト,0,2021RS
,鍵　谷,0,3,1,0,1,3,1,大城,2021/08/17,ヤクルト,0,2021RS
,大　江,0,3,2,0,1,3,3,大城,2021/08/17,ヤクルト,0,2021RS
,桜　井,0.2,4,2,1,0,1,1,大城,2021/08/17,ヤクルト,0,2021RS
,桜　井,2,10,2,0,2,2,2,岸田,2021/08/17,ヤクルト,0,2021RS
,直　江,4,20,6,3,4,2,2,大城,2021/08/18,ヤクルト,1,2021RS
,田中豊,1,3,0,0,1,0,0,大城,2021/08/18,ヤクルト,0,2021RS
W,畠,1,3,0,0,1,0,0,大城,2021/08/18,ヤクルト,0,2021RS
,高　梨,1,3,0,3,0,0,0,小林,2021/08/18,ヤクルト,0,2021RS
,デラロサ,1,3,0,1,0,0,0,小林,2021/08/18,ヤクルト,0,2021RS
S,ビエイラ,1,4,0,1,1,0,0,小林,2021/08/18,ヤクルト,0,2021RS
L,山　口,5,24,5,4,4,3,3,大城,2021/08/20,横浜,1,2021RS
,畠,2,6,0,2,0,0,0,大城,2021/08/20,横浜,0,2021RS
,田中豊,1,4,2,0,0,1,1,大城,2021/08/20,横浜,0,2021RS
,今　村,1,6,2,2,1,2,2,大城,2021/08/20,横浜,0,2021RS
,戸　郷,6,21,2,5,1,1,1,大城,2021/08/21,横浜,1,2021RS
L,戸　郷,0.1,3,2,0,1,2,2,小林,2021/08/21,横浜,0,2021RS
,大　江,0.1,2,0,0,1,1,1,小林,2021/08/21,横浜,0,2021RS
,鍵　谷,0,4,4,0,0,2,2,小林,2021/08/21,横浜,0,2021RS
,桜　井,0.1,1,0,0,0,0,0,小林,2021/08/21,横浜,0,2021RS
,田中豊,1,4,1,3,0,1,1,小林,2021/08/21,横浜,0,2021RS
,畠,1,4,1,2,0,0,0,小林,2021/08/21,横浜,0,2021RS
,高　橋,5,24,5,3,4,4,4,大城,2021/08/22,横浜,1,2021RS
,桜　井,1,5,2,2,0,0,0,大城,2021/08/22,横浜,0,2021RS
,中　川,1,3,0,0,0,0,0,大城,2021/08/22,横浜,0,2021RS
,畠,1,3,0,1,0,0,0,大城,2021/08/22,横浜,0,2021RS
,ビエイラ,1,4,1,2,0,0,0,小林,2021/08/22,横浜,0,2021RS
W,メルセデス,7,26,3,7,3,1,1,大城,2021/08/24,広島,1,2021RS
,デラロサ,1,4,1,1,0,0,0,小林,2021/08/24,広島,0,2021RS
S,ビエイラ,1,5,0,2,2,0,0,小林,2021/08/24,広島,0,2021RS
,直　江,1.1,11,6,0,1,3,3,大城,2021/08/25,広島,1,2021RS
,大　江,2.2,7,1,2,0,0,0,大城,2021/08/25,広島,0,2021RS
,高　梨,2,7,1,4,0,0,0,大城,2021/08/25,広島,0,2021RS
,畠,1,3,0,1,0,0,0,大城,2021/08/25,広島,0,2021RS
W,中　川,1,4,0,0,1,0,0,大城,2021/08/25,広島,0,2021RS
S,ビエイラ,1,4,0,1,1,0,0,小林,2021/08/25,広島,0,2021RS
L,菅　野,6,26,6,6,2,5,5,大城,2021/08/26,中日,1,2021RS
,戸　根,1,6,2,1,1,3,3,大城,2021/08/26,中日,0,2021RS
,桜　井,2,11,2,0,3,3,3,岸田,2021/08/26,中日,0,2021RS
L,山　口,2,15,5,3,3,4,3,小林,2021/08/27,中日,1,2021RS
,戸　根,3,10,0,3,1,0,0,小林,2021/08/27,中日,0,2021RS
,鍵　谷,1,4,1,2,0,0,0,小林,2021/08/27,中日,0,2021RS
,大　江,1,3,0,2,0,0,0,小林,2021/08/27,中日,0,2021RS
,畠,1,4,1,0,1,0,0,大城,2021/08/27,中日,0,2021RS
,戸　郷,7,23,1,8,2,1,1,大城,2021/08/28,中日,1,2021RS
,戸　郷,1,4,1,1,0,0,0,小林,2021/08/28,中日,0,2021RS
,ビエイラ,1,3,0,0,0,0,0,小林,2021/08/28,中日,0,2021RS
W,高　橋,5,20,2,6,3,0,0,大城,2021/08/29,中日,1,2021RS
,高　梨,1,3,0,1,0,0,0,大城,2021/08/29,中日,0,2021RS
,畠,1,5,2,1,0,1,1,大城,2021/08/29,中日,0,2021RS
,デラロサ,1,4,1,0,0,0,0,小林,2021/08/29,中日,0,2021RS
,中　川,1,3,0,2,0,0,0,小林,2021/08/29,中日,0,2021RS
,メルセデス,4.2,24,8,8,2,4,4,大城,2021/08/31,ヤクルト,1,2021RS
W,鍵　谷,1.1,4,0,2,0,0,0,大城,2021/08/31,ヤクルト,0,2021RS
,高　梨,1,4,2,0,0,1,1,大城,2021/08/31,ヤクルト,0,2021RS
,デラロサ,0,5,5,0,0,3,3,大城,2021/08/31,ヤクルト,0,2021RS
,中　川,1,3,0,0,0,0,0,大城,2021/08/31,ヤクルト,0,2021RS
S,ビエイラ,1,4,1,0,0,0,0,小林,2021/08/31,ヤクルト,0,2021RS
W,菅　野,8,26,1,8,2,0,0,小林,2021/09/01,ヤクルト,1,2021RS
S,ビエイラ,1,3,0,2,0,0,0,小林,2021/09/01,ヤクルト,0,2021RS
,山　口,7,26,2,7,3,1,0,小林,2021/09/02,ヤクルト,1,2021RS
,中　川,1,5,2,0,0,0,0,大城,2021/09/02,ヤクルト,0,2021RS
,ビエイラ,0.1,4,2,0,1,1,1,大城,2021/09/02,ヤクルト,0,2021RS
,デラロサ,0.2,2,0,0,0,0,0,大城,2021/09/02,ヤクルト,0,2021RS
L,戸　郷,6.1,25,5,6,1,5,5,大城,2021/09/03,阪神,1,2021RS
,高　梨,0,1,0,0,1,1,1,大城,2021/09/03,阪神,0,2021RS
,鍵　谷,0.1,1,0,0,0,0,0,大城,2021/09/03,阪神,0,2021RS
,大　江,0.1,2,1,0,0,0,0,大城,2021/09/03,阪神,0,2021RS
,戸　根,1,6,2,3,1,1,1,大城,2021/09/03,阪神,0,2021RS
,高　橋,6,23,3,4,2,2,2,大城,2021/09/04,阪神,1,2021RS
,デラロサ,1,3,0,2,0,0,0,小林,2021/09/04,阪神,0,2021RS
,中　川,1,5,1,0,2,0,0,小林,2021/09/04,阪神,0,2021RS
L,ビエイラ,0,2,2,0,0,2,2,小林,2021/09/04,阪神,0,2021RS
,メルセデス,5,19,5,2,1,0,0,大城,2021/09/05,阪神,1,2021RS
,鍵　谷,0,3,1,0,1,3,1,大城,2021/09/05,阪神,0,2021RS
,大　江,0.1,3,1,0,1,1,1,大城,2021/09/05,阪神,0,2021RS
,畠,0.2,4,1,0,1,0,0,大城,2021/09/05,阪神,0,2021RS
,デラロサ,1,6,2,2,0,2,0,大城,2021/09/05,阪神,0,2021RS
,中　川,1,5,1,0,1,0,0,小林,2021/09/05,阪神,0,2021RS
,ビエイラ,1,6,2,1,1,0,0,小林,2021/09/05,阪神,0,2021RS
L,菅　野,4.1,26,7,7,5,7,7,小林,2021/09/07,横浜,1,2021RS
,大　江,0.2,3,1,1,0,1,1,小林,2021/09/07,横浜,0,2021RS
,戸　根,2,6,0,2,0,0,0,小林,2021/09/07,横浜,0,2021RS
,桜　井,1,4,1,0,1,0,0,小林,2021/09/07,横浜,0,2021RS
L,山　口,5,24,7,5,2,4,4,大城,2021/09/08,横浜,1,2021RS
,畠,1,3,0,2,0,0,0,大城,2021/09/08,横浜,0,2021RS
,畠,1,4,1,1,0,0,0,岸田,2021/09/08,横浜,0,2021RS
,高　梨,1,3,0,2,0,0,0,岸田,2021/09/08,横浜,0,2021RS
,戸　郷,5,23,6,7,2,3,3,岸田,2021/09/09,横浜,1,2021RS
,鍵　谷,1,3,0,0,0,0,0,岸田,2021/09/09,横浜,0,2021RS
,中　川,1,4,1,0,0,0,0,岸田,2021/09/09,横浜,0,2021RS
,デラロサ,1,6,3,0,0,2,2,岸田,2021/09/09,横浜,0,2021RS
,高　梨,0.2,4,1,1,1,0,0,岸田,2021/09/09,横浜,0,2021RS
,畠,0.1,1,0,1,0,0,0,岸田,2021/09/09,横浜,0,2021RS
