wls,pitcher,innings,pitches,at_bats,hits,homeruns,strikeouts,walks,hit_by_pitch,balks,runs,earned_runs,catcher,day_of_game,vs_team,starting,series
,八木 彬,0.1,1,1,0,0,0,0,0,0,0,0,寺地,2025/05/21,オリックス,0,2025RS
,西村 天裕,0.2,40,8,4,0,1,2,0,0,3,3,寺地,2025/05/21,オリックス,0,2025RS
,澤田 圭佑,1.1,9,5,0,0,0,1,0,0,0,0,寺地,2025/05/21,オリックス,0,2025RS
W,横山 陸人,5,66,18,2,0,2,1,0,0,0,0,寺地,2025/05/22,オリックス,1,2025RS
,小野 郁,1,14,4,1,0,1,0,0,0,0,0,寺地,2025/05/22,オリックス,0,2025RS
,高野 脩汰,2,26,7,1,1,3,0,0,0,1,1,寺地,2025/05/22,オリックス,0,2025RS
,菊地 吏玖,1,13,3,0,0,2,0,0,0,0,0,寺地,2025/05/22,オリックス,0,2025RS
W,小島 和哉,8,108,32,9,2,3,1,0,0,3,3,寺地,2025/05/23,西武,1,2025RS
,坂本 光士郎,1,7,3,0,0,0,0,0,0,0,0,寺地,2025/05/23,西武,0,2025RS
L,サモンズ,5,97,24,7,3,7,3,0,0,4,4,佐藤,2025/05/24,西武,1,2025RS
,木村 優人,1,13,3,0,0,0,0,0,0,0,0,佐藤,2025/05/24,西武,0,2025RS
,坂本 光士郎,1,9,3,0,0,1,0,0,0,0,0,佐藤,2025/05/24,西武,0,2025RS
,澤田 圭佑,1,20,5,2,1,1,0,0,0,2,2,佐藤,2025/05/24,西武,0,2025RS
,菊地 吏玖,1,14,3,0,0,1,0,0,0,0,0,佐藤,2025/05/24,西武,0,2025RS
L,ボス,6.2,111,29,8,0,7,0,1,0,5,5,寺地,2025/05/25,西武,1,2025RS
,八木 彬,1.1,25,8,4,0,1,0,0,0,2,2,寺地,2025/05/25,西武,0,2025RS
,澤田 圭佑,1,15,4,1,1,1,0,0,0,1,1,寺地,2025/05/25,西武,0,2025RS
W,田中 晴也,7,96,23,2,0,5,0,0,0,0,0,寺地,2025/05/27,オリックス,1,2025RS
,中森 俊介,1,10,3,0,0,0,0,0,0,0,0,寺地,2025/05/27,オリックス,0,2025RS
,小野 郁,0.0,12,4,4,0,0,0,0,0,4,4,寺地,2025/05/27,オリックス,0,2025RS
S,鈴木 昭汰,1,17,4,1,0,1,0,0,0,0,0,寺地,2025/05/27,オリックス,0,2025RS
,種市 篤暉,5,96,22,5,0,5,3,0,0,0,0,寺地,2025/05/28,オリックス,1,2025RS
,ゲレーロ,1,20,6,2,0,1,1,0,0,1,1,寺地,2025/05/28,オリックス,0,2025RS
H,木村 優人,2,36,10,3,0,2,1,0,0,0,0,寺地,2025/05/28,オリックス,0,2025RS
L,中森 俊介,1,15,5,2,0,1,0,0,0,1,1,寺地,2025/05/28,オリックス,0,2025RS
L,小島 和哉,6,84,23,4,1,7,2,1,0,3,3,寺地,2025/05/30,日本ハム,1,2025RS
,八木 彬,1,19,6,2,0,2,0,1,0,0,0,寺地,2025/05/30,日本ハム,0,2025RS
,菊地 吏玖,1,32,5,1,1,1,1,0,0,1,1,寺地,2025/05/30,日本ハム,0,2025RS
,西野 勇士,5.1,92,22,5,0,3,1,0,0,1,1,寺地,2025/05/31,日本ハム,1,2025RS
H,坂本 光士郎,0.2,6,2,0,0,0,0,0,0,0,0,寺地,2025/05/31,日本ハム,0,2025RS
H,小野 郁,1,16,4,1,0,1,0,0,0,0,0,寺地,2025/05/31,日本ハム,0,2025RS
H,中森 俊介,1,10,3,0,0,1,0,0,0,0,0,寺地,2025/05/31,日本ハム,0,2025RS
L,鈴木 昭汰,0.2,24,6,4,0,1,0,0,0,3,3,寺地,2025/05/31,日本ハム,0,2025RS
,ボス,8,97,29,2,0,2,3,0,0,0,0,寺地,2025/06/01,日本ハム,1,2025RS
L,ゲレーロ,0.0,4,1,1,1,0,0,0,0,1,1,寺地,2025/06/01,日本ハム,0,2025RS
W,石川 柊太,7,93,27,3,0,3,3,1,0,0,0,佐藤,2025/06/04,巨人,1,2025RS
,八木 彬,0.0,10,3,2,0,0,1,0,0,3,3,佐藤,2025/06/04,巨人,0,2025RS
H,中森 俊介,1,12,4,1,0,1,0,0,0,0,0,佐藤,2025/06/04,巨人,0,2025RS
S,鈴木 昭汰,1,17,4,1,0,2,0,0,0,0,0,佐藤,2025/06/04,巨人,0,2025RS
,種市 篤暉,8,128,31,3,1,8,4,1,0,1,1,寺地,2025/06/05,巨人,1,2025RS
