wls,pitcher,innings,opportunity,hits,strikeout,walk,run,earned_run,catcher,day_of_game,vs_team,starting,series
,澤　村,1,5,1,0,0,1,0,小林,2018/06/02,オリックス,0,2018RS
,マシソン,2,7,1,1,0,0,0,小林,2018/06/02,オリックス,0,2018RS
,カミネロ,1,3,0,2,0,0,0,小林,2018/06/02,オリックス,0,2018RS
,上　原,1,3,0,3,0,0,0,大城,2018/06/02,オリックス,0,2018RS
L,池　田,0.2,4,2,0,0,1,1,大城,2018/06/02,オリックス,0,2018RS
,内　海,5.1,21,5,6,1,1,1,小林,2018/06/03,オリックス,1,2018RS
,谷　岡,0.2,2,0,0,0,0,0,小林,2018/06/03,オリックス,0,2018RS
,澤　村,1,6,3,0,0,1,1,小林,2018/06/03,オリックス,0,2018RS
L,マシソン,1,5,3,1,0,1,1,河野,2018/06/03,オリックス,0,2018RS
L,山口俊,7.1,28,3,10,4,4,4,小林,2018/06/05,楽天,1,2018RS
,池　田,0.1,2,0,1,1,0,0,小林,2018/06/05,楽天,0,2018RS
,谷　岡,0.1,2,0,1,1,0,0,小林,2018/06/05,楽天,0,2018RS
,田　原,1,3,0,1,0,0,0,河野,2018/06/05,楽天,0,2018RS
W,今　村,6,21,4,4,0,0,0,小林,2018/06/06,楽天,1,2018RS
,澤　村,1,4,1,2,0,0,0,小林,2018/06/06,楽天,0,2018RS
,マシソン,1,3,0,2,0,0,0,小林,2018/06/06,楽天,0,2018RS
S,カミネロ,1,6,1,1,2,1,1,小林,2018/06/06,楽天,0,2018RS
,鍬　原,7,27,5,9,3,4,4,小林,2018/06/07,楽天,1,2018RS
L,上　原,1,4,2,0,0,1,1,小林,2018/06/07,楽天,0,2018RS
,池　田,1,3,0,1,0,0,0,小林,2018/06/07,楽天,0,2018RS
L,菅　野,5,25,10,4,1,5,4,小林,2018/06/08,西武,1,2018RS
,池　田,1,4,1,1,0,0,0,小林,2018/06/08,西武,0,2018RS
,谷　岡,1,3,0,1,0,0,0,小林,2018/06/08,西武,0,2018RS
,田　原,1,3,0,1,0,0,0,小林,2018/06/08,西武,0,2018RS
,上　原,1,4,1,2,0,0,0,小林,2018/06/08,西武,0,2018RS
,田　口,5.1,24,5,5,4,3,3,小林,2018/06/09,西武,1,2018RS
,谷　岡,0.2,3,0,0,1,0,0,小林,2018/06/09,西武,0,2018RS
,池　田,0.1,2,0,0,1,0,0,小林,2018/06/09,西武,0,2018RS
W,田　原,0.2,3,0,0,1,0,0,小林,2018/06/09,西武,0,2018RS
,澤　村,1,6,2,1,1,1,1,小林,2018/06/09,西武,0,2018RS
,マシソン,1,5,1,0,1,1,1,小林,2018/06/09,西武,0,2018RS
,内　海,7,28,7,5,1,2,2,小林,2018/06/10,西武,1,2018RS
,マシソン,1,4,0,0,1,0,0,小林,2018/06/10,西武,0,2018RS
W,カミネロ,1,3,0,1,0,0,0,小林,2018/06/10,西武,0,2018RS
W,山口俊,7,25,5,4,1,1,1,小林,2018/06/12,ソフトバンク,1,2018RS
,池　田,0.2,4,2,0,1,1,1,小林,2018/06/12,ソフトバンク,0,2018RS
,谷　岡,0.1,2,1,0,0,0,0,小林,2018/06/12,ソフトバンク,0,2018RS
,上　原,1,4,1,0,0,0,0,小林,2018/06/12,ソフトバンク,0,2018RS
L,今　村,6,22,4,5,1,3,3,小林,2018/06/13,ソフトバンク,1,2018RS
?,今　村,0.1,3,2,1,0,1,1,宇佐見,2018/06/13,ソフトバンク,0,2018RS
?,谷　岡,0.2,3,0,1,1,0,0,宇佐見,2018/06/13,ソフトバンク,0,2018RS
,森　福,1,3,0,0,0,0,0,宇佐見,2018/06/13,ソフトバンク,0,2018RS
W,鍬　原,5.2,24,4,7,2,4,3,小林,2018/06/14,ソフトバンク,1,2018RS
,澤　村,1.1,5,0,3,0,0,0,小林,2018/06/14,ソフトバンク,0,2018RS
,マシソン,1,3,0,2,0,0,0,小林,2018/06/14,ソフトバンク,0,2018RS
S,カミネロ,1,3,0,2,0,0,0,小林,2018/06/14,ソフトバンク,0,2018RS
W,菅　野,9,31,6,9,0,0,0,小林,2018/06/15,ロッテ,1,2018RS
L,田　口,8,28,5,4,1,1,1,小林,2018/06/16,ロッテ,1,2018RS
