wls,pitcher,innings,pitches,at_bats,hits,homeruns,strikeouts,walks,hit_by_pitch,balks,runs,earned_runs,catcher,day_of_game,vs_team,starting,series
H,甲斐野 央,0.1,9,2,1,0,1,0,0,0,0,0,古賀悠,2025/05/22,楽天,0,2025RS
L,ウィンゲンター,0.2,11,3,1,0,0,0,0,0,1,1,古賀悠,2025/05/22,楽天,0,2025RS
L,與座 海人,3.2,53,22,11,2,1,0,0,0,8,8,牧野,2025/05/23,ロッテ,1,2025RS
,羽田 慎之介,1.1,17,6,2,0,0,0,0,0,1,1,牧野,2025/05/23,ロッテ,0,2025RS
,E.ラミレス,1,11,3,1,0,0,0,0,0,0,0,牧野,2025/05/23,ロッテ,0,2025RS
,佐藤 隼輔,1,7,4,1,0,1,0,0,0,0,0,牧野,2025/05/23,ロッテ,0,2025RS
,田村 伊知郎,1,14,3,0,0,1,0,0,0,0,0,牧野,2025/05/23,ロッテ,0,2025RS
W,今井 達也,8,103,29,5,0,7,1,0,0,1,1,古賀悠,2025/05/24,ロッテ,1,2025RS
,山田 陽翔,1,15,4,0,0,1,1,1,0,0,0,古賀悠,2025/05/24,ロッテ,0,2025RS
W,隅田 知一郎,6,88,25,7,0,4,1,0,0,0,0,古賀悠,2025/05/25,ロッテ,1,2025RS
,佐藤 隼輔,0.1,17,4,0,0,0,2,1,0,0,0,古賀悠,2025/05/25,ロッテ,0,2025RS
H,甲斐野 央,0.2,12,2,0,0,1,0,0,0,0,0,古賀悠,2025/05/25,ロッテ,0,2025RS
,E.ラミレス,1,9,3,0,0,2,0,0,0,0,0,古賀悠,2025/05/25,ロッテ,0,2025RS
,水上 由伸,1,11,3,0,0,2,0,0,0,0,0,古賀悠,2025/05/25,ロッテ,0,2025RS
,高橋 光成,7,121,29,7,0,6,1,0,0,1,0,炭谷,2025/05/27,楽天,1,2025RS
L,ウィンゲンター,1,20,5,2,0,1,0,0,0,1,1,炭谷,2025/05/27,楽天,0,2025RS
,羽田 慎之介,0.1,17,4,2,0,1,1,0,0,1,1,古賀悠,2025/05/27,楽天,0,2025RS
,水上 由伸,0.2,12,3,1,0,0,0,0,0,0,0,古賀悠,2025/05/27,楽天,0,2025RS
W,渡邉 勇太朗,7,99,26,3,0,6,1,1,0,0,0,炭谷,2025/05/28,楽天,1,2025RS
,山田 陽翔,1,17,4,1,0,2,0,0,0,0,0,炭谷,2025/05/28,楽天,0,2025RS
,E.ラミレス,1,12,4,0,0,1,1,0,0,0,0,古賀悠,2025/05/28,楽天,0,2025RS
L,武内 夏暉,6,92,25,6,1,4,1,0,0,5,5,古賀悠,2025/05/29,楽天,1,2025RS
,佐藤 隼輔,1.0,15,4,1,0,0,1,0,0,1,1,古賀悠,2025/05/29,楽天,0,2025RS
,田村 伊知郎,1,25,6,3,0,0,0,0,0,0,0,古賀悠,2025/05/29,楽天,0,2025RS
,水上 由伸,1,19,5,1,0,0,1,0,0,0,0,古賀悠,2025/05/29,楽天,0,2025RS
,今井 達也,7,121,29,5,0,7,4,0,0,2,2,古賀悠,2025/05/31,オリックス,1,2025RS
H,ウィンゲンター,1,15,3,0,0,3,0,0,0,0,0,古賀悠,2025/05/31,オリックス,0,2025RS
H,甲斐野 央,1,9,4,1,0,1,0,0,0,0,0,古賀悠,2025/05/31,オリックス,0,2025RS
H,平良 海馬,1,26,6,2,0,2,1,0,0,0,0,古賀悠,2025/05/31,オリックス,0,2025RS
L,山田 陽翔,0.2,6,3,1,1,1,0,0,0,1,1,古賀悠,2025/05/31,オリックス,0,2025RS
,與座 海人,5.1,90,22,4,1,3,3,0,0,2,2,牧野,2025/06/01,オリックス,1,2025RS
H,佐藤 隼輔,0.2,6,2,0,0,0,0,0,0,0,0,牧野,2025/06/01,オリックス,0,2025RS
H,山田 陽翔,1,9,3,0,0,1,0,0,0,0,0,牧野,2025/06/01,オリックス,0,2025RS
W,甲斐野 央,1,8,3,0,0,0,0,0,0,0,0,牧野,2025/06/01,オリックス,0,2025RS
S,平良 海馬,1,13,4,1,0,0,0,0,0,0,0,牧野,2025/06/01,オリックス,0,2025RS
,隅田 知一郎,8.2,110,31,7,0,7,0,0,0,0,0,古賀悠,2025/06/03,ヤクルト,1,2025RS
H,ウィンゲンター,0.1,4,1,0,0,0,0,0,0,0,0,古賀悠,2025/06/03,ヤクルト,0,2025RS
H,甲斐野 央,1,15,4,1,0,2,0,0,0,0,0,古賀悠,2025/06/03,ヤクルト,0,2025RS
W,平良 海馬,1,20,4,0,0,3,1,0,0,0,0,古賀悠,2025/06/03,ヤクルト,0,2025RS
W,渡邉 勇太朗,7,98,26,5,0,4,0,1,0,1,1,古賀悠,2025/06/04,ヤクルト,1,2025RS
H,山田 陽翔,1,27,5,2,0,0,0,0,0,1,0,古賀悠,2025/06/04,ヤクルト,0,2025RS
S,平良 海馬,1,17,4,1,0,1,0,0,0,0,0,古賀悠,2025/06/04,ヤクルト,0,2025RS
L,菅井 信也,5,81,23,7,2,4,1,0,0,4,4,牧野,2025/06/05,ヤクルト,1,2025RS
,佐々木 健,1,13,3,0,0,0,1,0,0,0,0,牧野,2025/06/05,ヤクルト,0,2025RS
,田村 伊知郎,2,28,7,0,0,1,1,0,0,0,0,牧野,2025/06/05,ヤクルト,0,2025RS
,E.ラミレス,1,14,4,0,0,1,1,0,0,0,0,牧野,2025/06/05,ヤクルト,0,2025RS
,高橋 光成,7,104,30,7,0,2,3,0,0,2,2,炭谷,2025/06/06,広島,1,2025RS
L,ウィンゲンター,1,18,4,0,0,1,1,0,0,1,0,炭谷,2025/06/06,広島,0,2025RS
L,今井 達也,7,134,31,8,1,9,0,1,0,5,5,古賀悠,2025/06/07,広島,1,2025RS
